"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment",
"C20","C_1812_HandSoldering","41.53033mm","35.305456mm","41.53033mm","35.305456mm","41.53033mm","38.205456mm","B","270","10pF 3KV",
"C21","C_1812_HandSoldering","50.75mm","30.0mm","50.75mm","30.0mm","52.80061mm","32.05061mm","B","225","10pF 3KV",
"C22","C_1812_HandSoldering","53.5mm","27.25mm","53.5mm","27.25mm","55.55061mm","29.30061mm","B","225","10pF 3KV",
"C23","C_1812_HandSoldering","56.533378mm","98.570175mm","56.533378mm","98.570175mm","54.482768mm","96.519565mm","B","45","10pF 3KV",
"C23","C_1812_HandSoldering","52.216622mm","118.429825mm","52.216622mm","118.429825mm","54.267232mm","120.480435mm","B","225","10pF 3KV",
"C24","C_1812_HandSoldering","53.70495mm","101.398602mm","53.70495mm","101.398602mm","51.65434mm","99.347992mm","B","45","10pF 3KV",
"C24","C_1812_HandSoldering","55.045049mm","115.601398mm","55.045049mm","115.601398mm","57.095659mm","117.652008mm","B","225","10pF 3KV",
"C25","C_1812_HandSoldering","50.876524mm","104.227028mm","50.876524mm","104.227028mm","48.825914mm","102.176418mm","B","45","10pF 3KV",
"C25","C_1812_HandSoldering","57.873476mm","112.772971mm","57.873476mm","112.772971mm","59.924086mm","114.823581mm","B","225","10pF 3KV",
"C26","C_1812_HandSoldering","48.048097mm","107.055456mm","48.048097mm","107.055456mm","45.997487mm","105.004846mm","B","45","10pF 3KV",
"C26","C_1812_HandSoldering","60.701903mm","109.944544mm","60.701903mm","109.944544mm","62.752513mm","111.995154mm","B","225","10pF 3KV",
"C27","C_1812_HandSoldering","45.21967mm","109.883883mm","45.21967mm","109.883883mm","43.16906mm","107.833273mm","B","45","33pF 3KV",
