"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment",
"C38","C_0805","89.5mm","88.5mm","89.5mm","88.5mm","88.5mm","88.5mm","B","0","1nF",
"C39","C_0805","100.75mm","57.0mm","100.75mm","57.0mm","99.75mm","57.0mm","B","0","102",
"C4","C_0805","36.007mm","63.104mm","36.007mm","63.104mm","35.299893mm","62.396893mm","B","45","104",
"C40","C_0805","109.5mm","96.0mm","109.5mm","96.0mm","110.5mm","96.0mm","B","180","104",
"C41","C_0805","28.25mm","88.25mm","28.25mm","88.25mm","28.25mm","89.25mm","B","270","104",
"C43","C_0805","32.0mm","91.5mm","32.0mm","91.5mm","31.0mm","91.5mm","B","0","10nF NP0",
"C44","C_0805","37.0mm","90.75mm","37.0mm","90.75mm","37.0mm","91.75mm","B","270","47pF",
"C45","C_0805","36.0mm","95.0mm","36.0mm","95.0mm","36.0mm","94.0mm","B","90","10uF",
"C47","C_0805","38.0mm","95.0mm","38.0mm","95.0mm","38.0mm","94.0mm","B","90","104",
"C48","C_0805","3.5mm","88.75mm","3.5mm","88.75mm","3.5mm","87.75mm","B","90","104",
"C49","C_0805","43.0mm","82.25mm","43.0mm","82.25mm","42.0mm","82.25mm","B","0","10uF",
"C5","C_0805","48.65mm","44.4mm","48.65mm","44.4mm","47.942893mm","45.107107mm","B","315","104",
"C50","C_0805","3.5mm","84.0mm","3.5mm","84.0mm","3.5mm","85.0mm","B","270","10uF",
"C52","C_0805","40.265mm","22.199999mm","40.265mm","22.199999mm","39.265mm","22.199999mm","B","0","104",
"C53","C_0805","37.15mm","12.812mm","37.15mm","12.812mm","37.15mm","13.812mm","B","270","104",
"C54","C_0805","44.015mm","22.2mm","44.015mm","22.2mm","45.015mm","22.2mm","B","180","104",
"C55","C_0805","47.765mm","22.2mm","47.765mm","22.2mm","48.765mm","22.2mm","B","180","104",
"C56","C_0805","37.023mm","18.315mm","37.023mm","18.315mm","37.023mm","17.315mm","B","90","104",
"C57","C_0805","24.196mm","47.229mm","24.196mm","47.229mm","24.903107mm","47.936107mm","B","225","104",
"C58","C_0805","33.34mm","61.707mm","33.34mm","61.707mm","34.047107mm","60.999893mm","B","135","104",
"C59","C_0805","40.071mm","36.688mm","40.071mm","36.688mm","39.363893mm","37.395107mm","B","315","104",
"C6","C_0805","32.0mm","38.5mm","32.0mm","38.5mm","32.707107mm","39.207107mm","B","225","104",
"C60","C_0805","12.75mm","13.0mm","12.75mm","13.0mm","11.75mm","13.0mm","B","0","104",
"C7","C_0805","22.799mm","48.499mm","22.799mm","48.499mm","23.506107mm","49.206107mm","B","225","104",
"C8","C_0805","42.116mm","38.723mm","42.116mm","38.723mm","41.408893mm","39.430107mm","B","315","104",
"C9","C_0805","49.342mm","52.055mm","49.342mm","52.055mm","48.634893mm","51.347893mm","B","45","104",
"D1","LL-34","105.5mm","63.0mm","105.5mm","63.0mm","107.25mm","63.0mm","B","0","D",
"D10","SMA(DO-214AC)_S1","74.0mm","89.75mm","74.0mm","89.75mm","76.1mm","89.75mm","B","0","SS14",
"D11","SOD-123","68.600001mm","16.866mm","68.600001mm","16.866mm","67.125001mm","16.866mm","B","180","SD103",
"D12","SOD-123","68.6mm","18.866mm","68.6mm","18.866mm","67.125mm","18.866mm","B","180","SD103",
"D13","LED_0805","48.9mm","11.45mm","48.9mm","11.45mm","47.8mm","11.45mm","B","0","LED",
"D14","LED_0805","44.65mm","11.45mm","44.65mm","11.45mm","43.55mm","11.45mm","B","0","LED",
"D15","LED_0805","105.25mm","60.25mm","105.25mm","60.25mm","104.15mm","60.25mm","B","0","T1H",
"D16","LED_0805","103.75mm","54.75mm","103.75mm","54.75mm","102.65mm","54.75mm","B","0","T2H",
"D17","LED_0805","93.5mm","70.0mm","93.5mm","70.0mm","93.5mm","68.9mm","B","90","VmH",
"D18","LED_0805","99.0mm","69.75mm","99.0mm","69.75mm","99.0mm","68.65mm","B","90","ImH",
"D19","LED_0805","97.5mm","45.0mm","97.5mm","45.0mm","96.4mm","45.0mm","B","0","R1H",
"D2","LL-34","105.5mm","57.25mm","105.5mm","57.25mm","107.25mm","57.25mm","B","0","D",
"D20","LED_0805","98.0mm","34.25mm","98.0mm","34.25mm","96.9mm","34.25mm","B","0","R2H",
"D21","LED_0805","121.5mm","8.75mm","121.5mm","8.75mm","120.4mm","8.75mm","B","0","OD",
"D22","LED_0805","43.75mm","95.0mm","43.75mm","95.0mm","44.85mm","95.0mm","B","180","Power",
"D23","SOD-123","70.932mm","14.59mm","70.932mm","14.59mm","69.457mm","14.59mm","B","180","SD103",
"D24","LED_0805","45.5mm","35.0mm","45.5mm","35.0mm","46.277817mm","34.222183mm","B","135","LED",
"D25","SOD-123","47.75mm","8.75mm","47.75mm","8.75mm","46.275mm","8.75mm","B","180","SD103",
"D26","SOD-123","95.25mm","63.25mm","95.25mm","63.25mm","96.725mm","63.25mm","B","0","SD103",
"D3","LL-34","96.5mm","71.75mm","96.5mm","71.75mm","96.5mm","73.5mm","B","90","D",
"D4","LL-34","101.5mm","71.9mm","101.5mm","71.9mm","101.5mm","73.65mm","B","90","D",
"D5","LL-34","106.5mm","45.5mm","106.5mm","45.5mm","108.25mm","45.5mm","B","0","D",
"D6","LL-34","105.6mm","36.0mm","105.6mm","36.0mm","105.6mm","34.25mm","B","270","D",
"D7","LL-34","118.25mm","11.25mm","118.25mm","11.25mm","120.0mm","11.25mm","B","0","D",
"D8","LL-34","22.0mm","88.75mm","22.0mm","88.75mm","23.75mm","88.75mm","B","0","16V",
"D9","SMA(DO-214AC)_S1","59.25mm","89.75mm","59.25mm","89.75mm","61.35mm","89.75mm","B","0","SS14",
"F1","R_1206","17.0mm","88.75mm","17.0mm","88.75mm","15.55mm","88.75mm","B","0","2A",
"FB1","R_0805","90.0mm","93.5mm","90.0mm","93.5mm","89.05mm","93.5mm","B","0","1K",
"FB2","R_0805","76.0mm","93.5mm","76.0mm","93.5mm","76.95mm","93.5mm","B","180","1K",
"FB3","R_0805","83.0mm","93.5mm","83.0mm","93.5mm","83.95mm","93.5mm","B","180","1K",
"FB5","R_0805","40.0mm","8.45mm","40.0mm","8.45mm","40.95mm","8.45mm","B","180","1K",
"FB6","R_0805","43.25mm","8.45mm","43.25mm","8.45mm","44.2mm","8.45mm","B","180","1K",
"FB7","R_1206","46.8mm","77.0mm","46.8mm","77.0mm","46.8mm","78.45mm","B","270","1K",
"L1","L_0805","34.011751mm","36.470751mm","34.011751mm","36.470751mm","33.34mm","35.799mm","B","45","600Ohm",
"L2","L_0805","23.18mm","65.136mm","23.18mm","65.136mm","22.23mm","65.136mm","B","0","600Ohm",
"L3","L_0805","23.053mm","67.93mm","23.053mm","67.93mm","22.103mm","67.93mm","B","0","600Ohm",
"L4","L_1206","21.0mm","93.0mm","21.0mm","93.0mm","21.0mm","91.55mm","B","90","BEAD",
"L5","L_SMD4030_hand","31.915mm","94.75mm","31.915mm","94.75mm","30.33mm","94.75mm","B","0","22uH",
"Q1","SOT-23(SOT-23-3)","51.900001mm","3.5mm","51.900001mm","3.5mm","50.950001mm","4.75mm","B","90","8050",
"Q10","SOT-23(SOT-23-3)","62.0mm","86.25mm","62.0mm","86.25mm","60.75mm","85.3mm","B","180","AO3402",
"Q11","SOT-23(SOT-23-3)","76.25mm","86.0mm","76.25mm","86.0mm","75.0mm","85.05mm","B","180","AO3402",
"Q2","SOT-23(SOT-23-3)","61.35mm","12.85mm","61.35mm","12.85mm","60.4mm","14.1mm","B","90","8050",
"Q3","SOT-23(SOT-23-3)","69.4mm","8.949mm","69.4mm","8.949mm","68.45mm","10.199mm","B","90","8050",
